,Unnamed: 0,scaled_input_age,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_native-country,origin_input_class,scaled_cf_age,scaled_cf_workclass,scaled_cf_education,scaled_cf_marital-status,scaled_cf_occupation,scaled_cf_relationship,scaled_cf_race,scaled_cf_sex,scaled_cf_capital-gain,scaled_cf_capital-loss,scaled_cf_hours-per-week,scaled_cf_native-country,scaled_cf_class,origin_cf_age,origin_cf_workclass,origin_cf_education,origin_cf_marital-status,origin_cf_occupation,origin_cf_relationship,origin_cf_race,origin_cf_sex,origin_cf_capital-gain,origin_cf_capital-loss,origin_cf_hours-per-week,origin_cf_native-country,origin_cf_class,running_time,Found,ground_truth,prediction
0,0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,Self-emp-inc,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,>50K,54.99999862909318,Self-emp-inc,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,>50K,0.3535468578338623,Y,<=50K,<=50K
0,0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0.4,0.0,0.1428571492433548,United-States,>50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Own-child,White,Male,39999.600000000006,0.0,15.000000625848772,United-States,>50K,0.3697307109832763,Y,<=50K,<=50K
0,0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.98281129,Thailand,>50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,97.31550642,Thailand,>50K,0.3525757789611816,Y,<=50K,<=50K
0,0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.7,0.0,0.1428571492433548,United-States,>50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,69999.3,0.0,15.000000625848772,United-States,>50K,0.3727529048919678,Y,<=50K,<=50K
0,0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.0,0.0,0.1428571492433548,United-States,>50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,15.000000625848772,United-States,>50K,0.3560302257537842,Y,<=50K,<=50K
1,0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.5863772,Private,Bachelors,Married-civ-spouse,Transport-moving,Wife,White,Male,0.0,0.0,0.1938775479793548,United-States,>50K,59.805535600000006,Private,Bachelors,Married-civ-spouse,Transport-moving,Wife,White,Male,0.0,0.0,19.99999970197678,United-States,>50K,0.3633394241333008,Y,<=50K,<=50K
1,0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.6575342416763306,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.32733346,United-States,>50K,64.99999964237213,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,33.07867908000001,United-States,>50K,0.3706297874450683,Y,<=50K,<=50K
1,0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.6575342416763306,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,>50K,64.99999964237213,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,>50K,0.3526716232299804,Y,<=50K,<=50K
1,0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,1.0,0.0,0.1938775479793548,United-States,>50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,99999.0,0.0,19.99999970197678,United-States,>50K,0.3574233055114746,Y,<=50K,<=50K
1,0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,0.1938775479793548,United-States,>50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,>50K,0.3508327007293701,Y,<=50K,<=50K
