,scaled_input_age,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_native-country,origin_input_class,scaled_cf_age,scaled_cf_workclass,scaled_cf_education,scaled_cf_marital-status,scaled_cf_occupation,scaled_cf_relationship,scaled_cf_race,scaled_cf_sex,scaled_cf_capital-gain,scaled_cf_capital-loss,scaled_cf_hours-per-week,scaled_cf_native-country,scaled_cf_class,origin_cf_age,origin_cf_workclass,origin_cf_education,origin_cf_marital-status,origin_cf_occupation,origin_cf_relationship,origin_cf_race,origin_cf_sex,origin_cf_capital-gain,origin_cf_capital-loss,origin_cf_hours-per-week,origin_cf_native-country,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.1428571492433548,United-States,<=50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,15.000000625848772,United-States,<=50K,0.5205479264259338,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.8891444,United-States,>50K,54.99999862909318,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,88.1361512,United-States,>50K,0.3960726261138916,Y,<=50K,<=50K
0,0.6575342416763306,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387754797935486,United-States,<=50K,64.99999964237213,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,19.99999970197678,United-States,<=50K,0.6575342416763306,Private,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.9,0.0,0.19387754797935486,United-States,>50K,64.99999964237213,Private,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,89999.1,0.0,19.99999970197678,United-States,>50K,0.3989996910095215,Y,<=50K,<=50K
0,0.16438356041908264,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,0.3979591727256775,Guatemala,<=50K,28.999999910593033,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,39.9999989271164,Guatemala,<=50K,0.16438356041908264,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.5,0.0,0.3979591727256775,Guatemala,>50K,28.999999910593033,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,49999.5,0.0,39.9999989271164,Guatemala,>50K,0.4090144634246826,Y,<=50K,<=50K
0,0.4931506812572479,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.3979591727256775,United-States,>50K,52.999999731779106,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,39.9999989271164,United-States,>50K,0.43737627,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0.0,0.0,0.3979591727256775,United-States,<=50K,48.92846771,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0.0,0.0,39.9999989271164,United-States,<=50K,0.39925146102905273,Y,>50K,>50K
0,0.2054794579744339,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,0.3979591727256775,United-States,<=50K,32.000000432133675,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,39.9999989271164,United-States,<=50K,0.2054794579744339,Private,Bachelors,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0.4,0.0,0.3979591727256775,United-States,>50K,32.000000432133675,Private,Bachelors,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,39999.600000000006,0.0,39.9999989271164,United-States,>50K,0.39957213401794434,Y,<=50K,<=50K
0,0.2876712381839752,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,0.47959184646606445,United-States,<=50K,38.0000003874302,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,48.00000095367432,United-States,<=50K,0.2876712381839752,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0.2,0.0,0.47959184646606445,Cambodia,>50K,38.0000003874302,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,19999.800000000003,0.0,48.00000095367432,Cambodia,>50K,0.3949320316314697,Y,<=50K,<=50K
0,0.2054794579744339,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,0.4285714328289032,United-States,>50K,32.000000432133675,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,43.00000041723252,United-States,>50K,0.2054794579744339,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,0.4285714328289032,United-States,<=50K,32.000000432133675,Private,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,43.00000041723252,United-States,<=50K,0.396392822265625,Y,>50K,>50K
0,0.24657534062862396,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,0.3979591727256775,United-States,<=50K,34.99999986588955,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,39.9999989271164,United-States,<=50K,0.24657534062862396,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,1.0,0.0,0.3979591727256775,Cambodia,>50K,34.99999986588955,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,99999.0,0.0,39.9999989271164,Cambodia,>50K,0.3998990058898926,Y,<=50K,<=50K
0,0.4794520437717438,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,0.5,United-States,<=50K,51.9999991953373,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,50.00000000000001,United-States,<=50K,0.4794520437717438,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.7,0.84671051,United-States,>50K,51.9999991953373,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,3049.2,83.97762998,United-States,>50K,0.40189647674560547,Y,<=50K,<=50K
0,0.2602739632129669,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,0.3979591727256775,United-States,<=50K,35.999999314546585,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,39.9999989271164,United-States,<=50K,0.2602739632129669,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,0.3979591727256775,United-States,<=50K,35.999999314546585,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,39.9999989271164,United-States,<=50K,0.4039933681488037,Y,<=50K,>50K
0,0.12328767031431198,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,0.37755101919174194,United-States,<=50K,25.999999932944775,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,37.99999988079072,United-States,<=50K,0.5054242,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.3,0.0,0.37755101919174194,United-States,>50K,53.89596660000001,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,29999.7,0.0,37.99999988079072,United-States,>50K,0.4019482135772705,Y,<=50K,<=50K
0,0.27397260069847107,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,0.37755101919174194,United-States,<=50K,36.999999850988395,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,37.99999988079072,United-States,<=50K,0.27397260069847107,State-gov,Bachelors,Separated,Adm-clerical,Not-in-family,White,Male,0.5,0.0,0.37755101919174194,United-States,>50K,36.999999850988395,State-gov,Bachelors,Separated,Adm-clerical,Not-in-family,White,Male,49999.5,0.0,37.99999988079072,United-States,>50K,0.40009593963623047,Y,<=50K,<=50K
