,Unnamed: 0,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,African-American,0.5,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,African-American,19.0,0.0,F,0,0,0,0.0,High,0.093189001083374,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Native American,0.5,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Native American,19.0,0.0,F,0,0,0,0.0,High,0.0960090160369873,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,0.5,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,19.0,0.0,F,0,0,0,0.0,High,0.0902330875396728,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,1.0,0.0,F,1,0,0,0.0,High,28.0,25 - 45,Female,Other,38.0,0.0,F,1,0,0,0.0,High,0.0946409702301025,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,0.8,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,30.4,0.0,F,0,0,0,0.0,High,0.0916249752044677,Y,Medium-Low,Medium-Low
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.99420369,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,95.54788782,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0944471359252929,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.90620567,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,88.68404226,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0884368419647216,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.60861555,Less than 25,Male,Hispanic,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,65.4720129,Less than 25,Male,Hispanic,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0864560604095459,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.0512820512820512,Greater than 45,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,22.0,Greater than 45,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0914268493652343,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.58731795,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,63.8108001,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0891501903533935,Y,High,High
