,Unnamed: 0,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,0.7,0.6284084754,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,26.6,664.2277584978,F,0,0,0,0.0,High,0.0861258506774902,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,38.0,0.0,F,0,0,0,0.0,High,0.0924341678619384,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,0.8,0.0,F,0,1,0,0.0,High,28.0,25 - 45,Female,Other,30.4,0.0,F,0,1,0,0.0,High,0.0900032520294189,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Other,1.1,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,41.8,0.0,F,0,0,0,0.0,High,0.0914690494537353,Y,Medium-Low,Medium-Low
0,0,0.1282051282051282,25 - 45,Female,Other,0.0263157894736842,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.1282051282051282,25 - 45,Female,Asian,0.7,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Asian,26.6,0.0,F,0,0,0,0.0,High,0.0831570625305175,Y,Medium-Low,Medium-Low
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.0512820512820512,Less than 25,Male,Caucasian,0.1,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,22.0,Less than 25,Male,Caucasian,3.8,168.0,F,1,0,1,62.0,Medium-Low,0.1068341732025146,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.88404737,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,86.95569486000001,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0933060646057128,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.94011828,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,91.32922584,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.0892698764801025,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.0512820512820512,Less than 25,Male,Caucasian,0.1,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,22.0,Less than 25,Male,Caucasian,3.8,168.0,F,1,0,1,62.0,Medium-Low,0.0926048755645752,Y,High,High
1,0,0.0512820512820512,Less than 25,Male,Caucasian,0.1578947368421052,0.1589403973509933,F,1,0,1,0.0775969962453066,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.0512820512820512,Less than 25,Male,Caucasian,0.1,0.1589403973509933,F,1,0,1,0.0775969962453066,Medium-Low,22.0,Less than 25,Male,Caucasian,3.8,168.0,F,1,0,1,62.0,Medium-Low,0.0899000167846679,Y,High,High
2,0,0.3333333333333333,25 - 45,Male,African-American,0.0,0.0009460737937559,M,0,0,0,0.0025031289111389,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.3333333333333333,25 - 45,Male,African-American,0.6,0.0009460737937559,M,1,0,0,0.0025031289111389,High,44.0,25 - 45,Male,African-American,22.8,1.0,M,1,0,0,2.0,High,0.0940232276916503,Y,Medium-Low,Medium-Low
2,0,0.3333333333333333,25 - 45,Male,African-American,0.0,0.0009460737937559,M,0,0,0,0.0025031289111389,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.48864308,25 - 45,Male,African-American,0.7,0.0009460737937559,M,0,0,0,0.0025031289111389,High,56.11416024,25 - 45,Male,African-American,26.6,1.0,M,0,0,0,2.0,High,0.0898299217224121,Y,Medium-Low,Medium-Low
2,0,0.3333333333333333,25 - 45,Male,African-American,0.0,0.0009460737937559,M,0,0,0,0.0025031289111389,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.48732572,25 - 45,Male,African-American,1.1,0.0009460737937559,M,0,0,0,0.0025031289111389,High,56.01140616000001,25 - 45,Male,African-American,41.8,1.0,M,0,0,0,2.0,High,0.0888478755950927,Y,Medium-Low,Medium-Low
2,0,0.3333333333333333,25 - 45,Male,African-American,0.0,0.0009460737937559,M,0,0,0,0.0025031289111389,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.3333333333333333,25 - 45,Male,African-American,1.0,0.0009460737937559,M,0,0,0,0.0025031289111389,High,44.0,25 - 45,Male,African-American,38.0,1.0,M,0,0,0,2.0,High,0.0945827960968017,Y,Medium-Low,Medium-Low
2,0,0.3333333333333333,25 - 45,Male,African-American,0.0,0.0009460737937559,M,0,0,0,0.0025031289111389,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.3333333333333333,25 - 45,Male,African-American,1.0,0.0009460737937559,M,0,1,0,0.0025031289111389,High,44.0,25 - 45,Male,African-American,38.0,1.0,M,0,1,0,2.0,High,0.0906250476837158,Y,Medium-Low,Medium-Low
3,0,0.141025641025641,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.141025641025641,25 - 45,Male,African-American,0.7,0.0,M,0,0,0,0.0,High,29.000000000000004,25 - 45,Male,African-American,26.6,0.0,M,0,0,0,0.0,High,0.0895180702209472,Y,Medium-Low,Medium-Low
3,0,0.141025641025641,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.141025641025641,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.9,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,719.1,High,0.0921442508697509,Y,Medium-Low,Medium-Low
3,0,0.141025641025641,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.141025641025641,25 - 45,Male,African-American,0.7,0.0,M,0,0,0,0.0,High,29.000000000000004,25 - 45,Male,African-American,26.6,0.0,M,0,0,0,0.0,High,0.0875539779663086,Y,Medium-Low,Medium-Low
3,0,0.141025641025641,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.141025641025641,25 - 45,Male,African-American,0.4,0.0,M,0,0,0,0.5,High,29.000000000000004,25 - 45,Male,African-American,15.2,0.0,M,0,0,0,399.5,High,0.0944571495056152,Y,Medium-Low,Medium-Low
