,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_capital-gain,scaled_cf_capital-loss,scaled_cf_hours-per-week,scaled_cf_workclass,scaled_cf_education,scaled_cf_marital-status,scaled_cf_occupation,scaled_cf_relationship,scaled_cf_race,scaled_cf_sex,scaled_cf_native-country,scaled_cf_class,origin_cf_age,origin_cf_capital-gain,origin_cf_capital-loss,origin_cf_hours-per-week,origin_cf_workclass,origin_cf_education,origin_cf_marital-status,origin_cf_occupation,origin_cf_relationship,origin_cf_race,origin_cf_sex,origin_cf_native-country,origin_cf_class
0,0.5205479452054793,0.0,0.0,0.14285714285714282,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,54.99999999999999,0.0,0.0,14.999999999999998,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K,82.20883989334106,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.6575342465753424,0.0,0.0,0.19387755102040813,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,65.0,0.0,0.0,20.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K,79.78059482574463,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.1643835616438356,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,29.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Guatemala,<=50K,79.50010180473328,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4931506849315069,0.0,0.0,0.39795918367346933,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,53.00000000000001,0.0,0.0,40.0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,80.57465696334839,Y,>50K,>50K,0.0,0.0,0.0,0.0,State-gov,9th,Married-civ-spouse,Protective-serv,Wife,White,Female,Haiti,<=50K,17.0,0.0,0.0,1.0,State-gov,9th,Married-civ-spouse,Protective-serv,Wife,White,Female,Haiti,<=50K
0,0.2054794520547945,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,32.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K,79.62092900276184,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2876712328767123,0.0,0.0,0.47959183673469385,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,38.0,0.0,0.0,48.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K,79.36684703826904,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2054794520547945,0.0,0.0,0.42857142857142855,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,32.0,0.0,0.0,43.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,78.12799525260925,Y,>50K,>50K,0.0,0.0,0.0,0.0,State-gov,9th,Married-civ-spouse,Protective-serv,Wife,White,Female,Haiti,<=50K,17.0,0.0,0.0,1.0,State-gov,9th,Married-civ-spouse,Protective-serv,Wife,White,Female,Haiti,<=50K
0,0.2465753424657534,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,35.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K,79.62133765220642,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4794520547945205,0.0,0.0,0.5,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,52.0,0.0,0.0,50.00000000000001,Private,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,79.31343197822571,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2602739726027397,0.0,0.0,0.39795918367346933,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,36.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K,77.99663519859314,N,<=50K,<=50K,,,,,,,,,,,,,,,,,,,,,,,,,,
