,Unnamed: 0,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_length_of_stay,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_class,origin_cf_age,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_length_of_stay,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_class
0,0,0.1282051282051282,0.0263157894736842,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,79.6703610420227,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1282051282051282,0.0263157894736842,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,81.88835883140564,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1282051282051282,0.0263157894736842,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,78.44329977035522,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1282051282051282,0.0263157894736842,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,79.23598313331604,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1282051282051282,0.0263157894736842,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,74.87381982803345,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.0512820512820512,0.1578947368421052,0.1589403973509933,0.0775969962453066,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,76.0774199962616,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
1,0,0.0512820512820512,0.1578947368421052,0.1589403973509933,0.0775969962453066,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,75.47842407226562,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
1,0,0.0512820512820512,0.1578947368421052,0.1589403973509933,0.0775969962453066,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,75.23840403556824,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
1,0,0.0512820512820512,0.1578947368421052,0.1589403973509933,0.0775969962453066,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,77.30917382240295,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
1,0,0.0512820512820512,0.1578947368421052,0.1589403973509933,0.0775969962453066,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,73.68032312393188,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1.0,0.0,1.0,Medium-Low
