,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_length_of_stay,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_class,origin_cf_age,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_length_of_stay,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_class
0,0.12820512820512822,0.02631578947368421,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,28.0,1.0,0.0,0.0,25 - 45,Female,Other,F,0,0,0,Medium-Low,314.97022223472595,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.051282051282051294,0.15789473684210525,0.15894039735099338,0.07759699624530664,Less than 25,Male,Caucasian,F,1,0,1,High,22.0,6.0,168.0,62.0,Less than 25,Male,Caucasian,F,1,0,1,High,188.1051640510559,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low
0,0.33333333333333337,0.0,0.000946073793755913,0.0025031289111389237,25 - 45,Male,African-American,M,0,0,0,Medium-Low,44.0,0.0,1.0,2.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,307.8398628234863,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,307.9148259162903,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.14102564102564105,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,29.000000000000004,0.0,0.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,308.89304399490356,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.07692307692307696,0.05263157894736842,0.000946073793755913,0.003754693366708386,Less than 25,Male,African-American,M,0,0,0,High,24.000000000000004,2.0,1.0,3.0,Less than 25,Male,African-American,M,0,0,0,High,189.22938585281372,Y,Medium-Low,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low
0,0.07692307692307696,0.0,0.0,0.0012515644555694619,Less than 25,Male,African-American,M,1,0,1,Medium-Low,24.000000000000004,0.0,0.0,1.0,Less than 25,Male,African-American,M,1,0,1,Medium-Low,308.0721869468689,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.1794871794871795,0.0,0.0,0.0012515644555694619,25 - 45,Male,African-American,F,0,0,0,Medium-Low,32.0,0.0,0.0,1.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,306.72427701950073,Y,Medium-Low,Medium-Low,0.0,0.0,0.0,1.0,25 - 45,Female,African-American,F,1,0,1,High,18.0,0.0,0.0,799.0,25 - 45,Female,African-American,F,1,0,1,High
0,0.08974358974358973,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,25.0,2.0,1.0,0.0,25 - 45,Male,Hispanic,F,1,0,1,Medium-Low,306.22762989997864,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.24358974358974358,0.10526315789473684,0.000946073793755913,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,37.0,4.0,1.0,0.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,306.29884910583496,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
0,0.11538461538461539,0.10526315789473684,0.000946073793755913,0.04130162703379224,25 - 45,Male,African-American,F,0,0,0,High,27.0,4.0,1.0,33.0,25 - 45,Male,African-American,F,0,0,0,High,187.97657680511475,Y,High,High,0.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low,18.0,0.0,0.0,0.0,25 - 45,Female,African-American,F,1,0,1,Medium-Low
