,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_credits_this_bank,scaled_input_people_under_maintenance,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_job,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_credits_this_bank,origin_input_people_under_maintenance,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_job,origin_input_telephone,origin_input_foreign_worker,origin_input_default,running_time,Found,ground_truth,prediction,scaled_cf_duration_in_month,scaled_cf_credit_amount,scaled_cf_installment_as_income_perc,scaled_cf_present_res_since,scaled_cf_age,scaled_cf_credits_this_bank,scaled_cf_people_under_maintenance,scaled_cf_account_check_status,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_property,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_job,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_duration_in_month,origin_cf_credit_amount,origin_cf_installment_as_income_perc,origin_cf_present_res_since,origin_cf_age,origin_cf_credits_this_bank,origin_cf_people_under_maintenance,origin_cf_account_check_status,origin_cf_credit_history,origin_cf_purpose,origin_cf_savings,origin_cf_present_emp_since,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_property,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_job,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,1.0,1.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,38.43495273590088,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,1.0,1.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,23.444114446640015,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,1.0,1.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,17.515074014663696,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,1.0,1.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,17.177972078323364,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.47058823529411764,0.36519203257400684,1.0,0.6666666666666667,0.17857142857142855,0.0,0.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,36.0,6887.0,4.0,3.0,28.999999999999996,1.0,1.0,< 0 DM,delay in paying off in the past,(vacation - does not exist?),... < 100 DM,1 <= ... < 4 years,male : single,none,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,"yes, registered under the customers name ",yes,Y,16.984431505203247,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,0.0,0.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,17.286646127700806,Y,Y,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N,4.0,250.0,4.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,0.0,0.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,17.4791316986084,Y,Y,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N,4.0,250.0,4.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,0.0,0.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,17.12605094909668,Y,Y,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N,4.0,250.0,4.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,0.0,0.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,16.260371923446655,Y,Y,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N,4.0,250.0,4.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N
0,0.1176470588235294,0.035875426433366345,1.0,1.0,0.035714285714285754,0.0,0.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,11.999999999999998,902.0,4.0,4.0,21.0,1.0,1.0,< 0 DM,existing credits paid back duly till now,retraining,... < 100 DM,4 <= ... < 7 years,male : married/widowed,none,if not A121 : building society savings agreement/ life insurance,none,rent,skilled employee / official,none,yes,N,16.801966667175293,Y,Y,N,0.0,0.0,1.0,1.0,0.0,0.0,0.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N,4.0,250.0,4.0,4.0,19.0,1.0,1.0,no checking account,delay in paying off in the past,business,500 <= ... < 1000 DM ,... < 1 year ,male : single,co-applicant,"if not A121/A122 : car or other, not in attribute 6",none,own,unskilled - resident,none,yes,N
